Name,Section,Due Date,Assignee,Priority,Notes
Decide commission tier collision ($48K package vs $45K mid-tier cap),P0 — Nathan Decisions,2026-07-28,Nathan,High,"Most common ticket lands in 5% High-End band. Amend band to $18K-$50K or keep. Deck Slides 20-21 use $35K examples until decided."
Set HOA group discount terms in writing,P0 — Nathan Decisions,2026-08-01,Nathan,High,"Blocking Call Script Scenario 4. No HOA calls until terms exist in writing."
Confirm grouped-jobs scheduling priority with Ops Lead,P0 — Nathan Decisions,2026-08-01,Nathan,High,"Call Script HOA scenario promises grouped scheduling priority — Ops must confirm it is real."
Rep 4 hire decision,P0 — Nathan Decisions,2026-07-28,Nathan,High,"Target start Aug 1. Offer letters Jul 28 were for Reps 1-3 only."
Aug 5 standup: confirm SMS Day 1 date,P0 — Nathan Decisions,2026-08-05,Nathan,High,"Recommend Thu Aug 6 — Aug 8 is a Saturday and violates send-window rules."
Aug 5 standup: confirm 60-day re-blast policy,P0 — Nathan Decisions,2026-08-05,Nathan,Medium,"60-day figure is new policy — appears in no source doc."
Aug 5 standup: confirm equipment hold status,P0 — Nathan Decisions,2026-08-05,Nathan,High,"Reps say 'being locked' until O'Shea/Wilco deposits confirm (~Jul 31)."
Publish live counts Mon + Thu,P1 — Placeholders,2026-08-03,Harper + Lucas,High,"Assessments booked / slots remaining / machine-days. ALL scarcity copy feeds from this. Recurring."
Create Calendly links per rep,P1 — Placeholders,2026-08-05,Ops Lead,High,"Placeholder in Call Script + deck."
Assign direct phone/SMS sender IDs per rep,P1 — Placeholders,2026-08-03,Ops Lead,High,"Chosen at CRM import. Do NOT use 'Quo' unless actually procured."
Confirm 10DLC registration before cold SMS,P1 — Placeholders,2026-08-05,Ops Lead,High,"Cold sequence is gated on 10DLC + documented consent."
Backfill crew lead names 1-3,P1 — Placeholders,2026-09-14,Ops Lead,Medium,"After Sep 14 crew hiring."
Select phone/SMS platform,P1 — Placeholders,2026-08-03,Nathan + Ops,High,"Deck Slide 16 has placeholder. Sources name CRM/SMS blaster/phone only."
Produce one-page summary asset (unowned dependency),P1 — Unowned,2026-08-06,Swarm,High,"Reps promise it on calls + gatekeeper branch. In no batch's queue — add to Batch 1."
Produce Deliverable 1.3 Email Sequence Suite,Deliverable Queue,2026-07-25,Kimi Swarm,High,"12 emails: 5 past client + 4 cold + 3 post-assessment. Next up."
Produce Deliverables 1.4-1.9 (voicemail door hangers chat proposal referrals objections),Deliverable Queue,2026-07-28,Kimi Swarm,Medium,"Rest of Batch 1 sales copy."
Produce Batch 2 media creative (2.1-2.7),Deliverable Queue,2026-07-31,Kimi Swarm,Medium,"Ads video scripts static images subject lines content templates media pitches budget."
Produce Batch 3 sales engineering (3.1-3.3),Deliverable Queue,2026-08-03,Kimi Swarm,Medium,"Funnel map CRM automation specs Kanban setup. Depends on Batch 1."
Import this CSV into Asana project DRAWDOWN 2026,Setup,2026-07-24,Nathan,High,"Asana > project > Import CSV. Map Section to Sections, Due Date, Assignee, Priority."
